Date,Close,Predictions,title_senti_comp,news_senti_comp,avg_senti_comp,residual,ols_adjusted_pred,recommnedation,recommendation,Buy,Purchased
2021-08-05,2134.25,2090.254,0.17,0.9038,0.535,-43.99609375,2127.276456,Hold,Hold,0,0.0
2021-08-06,2089.050048828125,2102.3545,0.1779,0.8658,0.52,13.304443359375,2082.641944828125,Hold,Hold,0,0.0
2021-08-09,2077.14990234375,2090.1528,0.0,0.5106,0.26,13.0029296875,2076.0271743437497,Hold,Hold,0,0.0
2021-08-10,2088.050048828125,2082.6719,0.0,0.7452,0.37333333333333335,-5.378173828125,2083.436472828125,Hold,Hold,0,0.0
2021-08-11,2117.300048828125,2080.8542,0.0,0.0516,0.03,-36.44580078125,2123.007240828125,Hold,Hold,0,0.0
2021-08-12,2110.5,2096.8408,0.0,0.0,0.0,-13.6591796875,2116.975,Buy,Hold,0,0.0
2021-08-13,2145.64990234375,2105.8423,0.0,0.0,0.0,-39.8076171875,2152.12490234375,Buy,Hold,0,0.0
2021-08-16,2173.5,2121.1804,0.0,0.9919,0.5,-52.319580078125,2165.2155279999997,Hold,Hold,0,0.0
2021-08-17,2164.25,2140.154,0.0,0.0,0.0,-24.095947265625,2170.725,Hold,Hold,0,0.0
2021-08-18,2172.64990234375,2144.5571,0.0,0.0,0.0,-28.0927734375,2179.12490234375,Hold,Hold,0,0.0
2021-08-20,2148.25,2150.1067,0.0,0.8505,0.43,1.856689453125,2142.06956,Hold,Hold,0,0.0
2021-08-23,2162.35009765625,2144.2283,0.0,0.6369,0.32,-18.121826171875,2159.34802565625,Hold,Hold,0,0.0
2021-08-24,2183.699951171875,2150.3992,0.0,0.8207,0.41,-33.30078125,2177.962935171875,Hold,Hold,0,0.0
2021-08-25,2202.60009765625,2164.4924,0.0,0.0,0.0,-38.107666015625,2209.07509765625,Hold,Hold,0,0.0
2021-08-26,2230.449951171875,2179.6238,0.7184,0.8973,0.81,-50.826171875,2223.573127171875,Hold,Hold,0,0.0
2021-08-27,2227.39990234375,2196.9666,0.0,0.4215,0.21,-30.433349609375,2227.6029823437498,Hold,Hold,0,0.0
2021-08-30,2270.25,2205.7532,0.0,0.0,0.0,-64.496826171875,2276.725,Hold,Hold,0,0.0
2021-08-31,2258.14990234375,2225.58,0.0,0.0,0.0,-32.56982421875,2264.62490234375,Hold,Hold,0,0.0
2021-09-01,2267.10009765625,2229.9856,0.0,0.78215,0.395,-37.114501953125,2261.93670565625,Hold,Hold,0,0.0
2021-09-02,2294.39990234375,2238.2566,0.0,0.0,0.0,-56.143310546875,2300.87490234375,Hold,Hold,0,0.0
2021-09-03,2388.5,2254.4324,0.11333333333333336,0.7958,0.4533333333333334,-134.067626953125,2383.133496,Hold,Hold,0,0.0
2021-09-06,2425.60009765625,2349.4104,0.0,0.8613,0.43,-76.189697265625,2419.25895365625,Hold,Hold,0,0.0
2021-09-07,2440.89990234375,2401.42,0.17,0.94355,0.5549999999999999,-39.47998046875,2433.33487834375,Hold,Hold,0,0.0
2021-09-08,2431.35009765625,2424.2117,0.0,0.4215,0.21,-7.138427734375,2431.5531776562498,Hold,Hold,0,0.0
2021-09-09,2425.60009765625,2389.8503,0.0,0.2263,0.11,-35.749755859375,2428.70775365625,Hold,Hold,0,0.0
2021-09-13,2371.550048828125,2379.8757,0.0,0.8777,0.44,8.32568359375,2364.964872828125,Hold,Hold,0,0.0
2021-09-14,2368.449951171875,2372.4043,0.0,0.0,0.0,3.954345703125,2374.924951171875,Hold,Hold,0,0.0
2021-09-15,2378.300048828125,2372.6875,0.0,0.0,0.0,-5.612548828125,2384.775048828125,Hold,Hold,0,0.0
2021-09-16,2428.199951171875,2367.9932,0.0,0.0,0.0,-60.206787109375,2434.674951171875,Hold,Hold,0,0.0
2021-09-17,2390.550048828125,2383.942,0.0,0.0,0.0,-6.608154296875,2397.025048828125,Hold,Hold,0,0.0
2021-09-20,2394.35009765625,2410.4402,0.0,0.0,0.0,16.090087890625,2400.82509765625,Hold,Hold,0,0.0
2021-09-21,2404.699951171875,2384.266,0.0,0.0,0.0,-20.433837890625,2411.174951171875,Hold,Hold,0,0.0
2021-09-22,2430.5,2392.005,0.0,0.0,0.0,-38.4951171875,2436.975,Hold,Hold,0,0.0
2021-09-23,2489.89990234375,2414.1277,0.0,0.6369,0.32,-75.772216796875,2486.89783034375,Hold,Hold,0,0.0
2021-09-24,2482.699951171875,2441.0771,0.212,0.9379666666666668,0.5766666666666667,-41.622802734375,2475.218007171875,Hold,Hold,0,0.0
2021-09-27,2524.449951171875,2446.8008,0.0,0.0,0.0,-77.649169921875,2530.924951171875,Hold,Hold,0,0.0
2021-09-28,2548.050048828125,2468.749,0.0,0.0,0.0,-79.301025390625,2554.525048828125,Hold,Hold,0,0.0
2021-09-29,2527.85009765625,2490.248,0.0,0.0,0.0,-37.60205078125,2534.32509765625,Hold,Hold,0,0.0
2021-09-30,2519.25,2494.2527,0.0,0.0,0.0,-24.997314453125,2525.725,Hold,Hold,0,0.0
2021-10-01,2523.699951171875,2496.3538,0.0,0.0,0.0,-27.34619140625,2530.174951171875,Hold,Hold,0,0.0
2021-10-04,2556.14990234375,2505.5913,0.0,0.6515666666666667,0.32666666666666666,-50.55859375,2552.92959034375,Hold,Hold,0,0.0
2021-10-05,2609.199951171875,2525.7524,0.0,0.0,0.0,-83.447509765625,2615.674951171875,Hold,Hold,0,0.0
2021-10-06,2559.85009765625,2557.1086,0.0,0.0,0.0,-2.741455078125,2566.32509765625,Hold,Hold,0,0.0
2021-10-07,2572.39990234375,2555.159,0.0,0.6483,0.3233333333333333,-17.240966796875,2569.2281983437497,Hold,Hold,0,0.0
2021-10-08,2671.25,2561.2124,0.0,0.51845,0.26,-110.03759765625,2670.010464,Hold,Hold,0,0.0
2021-10-11,2652.64990234375,2601.607,0.02965,0.7464666666666666,0.38833333333333336,-51.04296875,2648.01747834375,Hold,Hold,0,0.0
2021-10-12,2667.800048828125,2611.048,0.0,0.0,0.0,-56.751953125,2674.275048828125,Hold,Hold,0,0.0
2021-10-13,2694.949951171875,2622.379,0.3915666666666667,0.8551333333333334,0.6233333333333334,-72.571044921875,2688.700567171875,Hold,Hold,0,0.0
2021-10-14,2700.39990234375,2641.635,0.4088,0.8707499999999999,0.64,-58.764892578125,2693.91814234375,Hold,Hold,0,0.0
2021-10-18,2707.60009765625,2656.732,0.0,0.5859,0.29,-50.8681640625,2705.35690565625,Hold,Hold,0,0.0
2021-10-19,2731.85009765625,2671.3704,0.4390666666666667,0.6831666666666667,0.5633333333333334,-60.479736328125,2728.15957765625,Hold,Hold,0,0.0
2021-10-20,2700.39990234375,2689.6272,0.0,0.5025333333333334,0.25,-10.772705078125,2699.39720634375,Hold,Hold,0,0.0
2021-10-21,2622.5,2688.4365,0.0,0.0,0.0,65.9365234375,2628.975,Hold,Hold,0,0.0
2021-10-22,2627.39990234375,2669.345,0.0,0.95205,0.475,41.945068359375,2619.70839834375,Hold,Hold,0,0.0
2021-10-25,2601.800048828125,2595.0684,0.0,0.0,0.0,-6.731689453125,2608.275048828125,Hold,Hold,0,0.0
2021-10-26,2661.050048828125,2583.954,0.0,0.0,0.0,-77.095947265625,2667.525048828125,Hold,Hold,0,0.0
2021-10-27,2627.39990234375,2599.2432,0.0,0.5859,0.29,-28.15673828125,2625.15671034375,Hold,Hold,0,0.0
2021-10-28,2598.60009765625,2631.4739,0.0,0.6561,0.33,32.873779296875,2595.31232965625,Hold,Hold,0,0.0
2021-10-29,2536.25,2585.229,0.0,0.0,0.0,48.97900390625,2542.725,Hold,Hold,0,0.0
2021-11-01,2537.800048828125,2546.451,0.0,0.0,0.0,8.65087890625,2544.275048828125,Hold,Hold,0,0.0
