date,title_senti_comp,news_senti_comp,avg_senti_comp
2022-03-02,0.0,0.43535,0.215
2022-03-03,0.1366,0.6271,0.385
2022-03-05,0.0,0.7269,0.36
2022-03-10,0.24635,0.14455,0.19499999999999998
2022-03-11,0.0,0.20095,0.1
2022-03-15,0.1779,0.9492,0.56
2022-03-19,-0.0258,0.2732,0.12
2022-03-21,0.0,0.89315,0.44499999999999995
2022-03-22,0.0,0.9636,0.48
2022-03-28,0.0,0.7351,0.37
2022-03-31,-0.3182,0.41745000000000004,0.05
2022-04-06,0.1779,0.9666,0.57
2022-04-07,0.5106,0.891,0.7
2022-04-20,-0.14784999999999998,0.7164,0.28500000000000003
2022-04-21,0.0,-0.2263,-0.11
2022-04-22,0.4588,0.8442,0.65
2022-04-27,0.24695,0.93275,0.59
2022-04-28,0.0,0.9618,0.48
2022-04-29,0.0,0.2263,0.11
2022-05-06,0.0,0.85475,0.43
2022-05-07,0.1101,0.658575,0.38499999999999995
2022-05-09,0.4939,0.8074,0.65
